sample,requests_done,rss_kib,fd_count,sockets
1,500,10112,15,4
2,1000,10112,15,4
3,1500,10112,15,4
4,2000,10112,15,4
5,2500,10112,15,4
6,3000,10112,15,4
7,3500,10112,15,4
8,4000,10112,15,4
9,4500,10112,15,4
10,5000,10112,15,4
11,5500,10112,15,4
12,6000,10112,15,4
13,6500,10112,15,4
14,7000,10112,15,4
15,7500,10112,15,4
16,8000,10112,15,4
17,8500,10112,15,4
18,9000,10112,15,4
19,9500,10112,15,4
20,10000,10112,15,4
21,11000,11576,15,4
